len,radix,comb,shell
1000,149.11,130.25,4745.31
2000,522.64,300.86,19345.42
3000,690.48,495.39,51998.20
4000,818.13,672.02,77183.71
5000,967.71,890.42,148370.59
6000,1113.12,1079.29,204099.09
7000,1253.88,1300.37,244652.89
8000,1434.50,1550.69,310239.57
9000,1603.21,1727.86,484899.42
10000,1741.02,1978.45,588817.83
