len,radix,comb,shell
1000,48.55,134.98,4824.65
2000,100.78,342.91,21965.67
3000,139.65,482.66,50009.66
4000,184.13,660.96,75908.38
5000,228.49,858.90,145349.50
6000,268.70,1062.45,200581.27
7000,319.49,1304.89,242994.61
8000,364.50,1557.78,310176.18
9000,434.64,1770.91,487293.46
10000,472.30,1967.93,586789.27
