len,radix,comb,shell
1000,92.91,169.85,4929.50
2000,183.95,371.73,19729.90
3000,268.81,587.69,52018.99
4000,361.49,815.66,79932.82
5000,483.71,1113.50,164287.90
6000,528.90,1261.58,208079.67
7000,613.77,1538.90,251697.53
8000,695.09,1815.73,321622.51
9000,788.92,1988.79,496556.95
10000,885.83,2378.19,630136.68
