len,std,vin,vin_opt,stras
2,1.05,1.50,1.42,1.12
4,2.58,2.65,2.48,2.32
8,10.80,10.40,7.16,11.43
16,73.07,62.58,45.89,74.03
32,665.42,523.15,360.38,654.97
64,4324.61,3395.31,2276.56,4422.31
128,34420.27,26537.17,17532.16,32818.01
