len,radix,comb,shell
1000,45.12,128.94,78.29
2000,91.84,295.41,172.83
3000,131.20,461.56,282.25
4000,175.10,648.91,376.77
5000,215.33,847.04,520.83
6000,258.73,1030.14,621.23
7000,306.44,1259.54,729.46
8000,347.76,1509.08,851.55
9000,409.46,1637.12,1008.38
10000,450.98,1911.07,1132.05
11000,511.42,2091.83,1259.36
