len,radix,comb,shell
1000,87.94,162.83,76.41
2000,172.62,352.86,169.15
3000,262.75,581.90,293.41
4000,338.90,761.42,375.60
5000,428.77,979.16,528.10
6000,498.52,1187.19,622.48
7000,677.61,2267.83,1116.61
8000,682.04,1826.32,890.49
9000,736.17,1833.36,993.84
10000,812.44,2098.41,1105.16
11000,898.31,2307.37,1220.61
