len,lev,dam_lev,rec,rec_cash
0,184,141,37,38
1,267,251,70,1347
2,324,355,231,6727
3,656,635,1042,20054
4,705,778,5256,40742
5,1071,1275,27254,73096
6,1112,1511,147663,112914
7,1393,1811,799311,158453
8,1858,2172,4358766,216053
9,2634,2833,24004595,287729
10,4678,4512,132658564,378041
20,6950,11486,0,0
30,15390,25627,0,0
40,25061,40564,0,0
50,43769,62426,0,0
60,57727,86545,0,0
70,82986,119998,0,0
80,108169,157782,0,0
90,132796,195080,0,0
100,159989,240430,0,0
200,597193,931896,0,0
