n,merge,mergeTh,amount
1000,0.63888,0.92222,1
2000,1.3142,1.6281,1
3000,2.0136,2.4189,1
4000,2.7501,3.2511,1
5000,3.551,4.0413,1
6000,4.3778,4.9219,1
7000,5.0021,5.7002,1
8000,5.8022,6.5657,1
9000,6.6908,7.4075,1
